Fall,College,Major Name,Term Code,Department,Major Code,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,All African American,All Asian,Legacy Advising Code,Legacy Department Code,Year Total,StudentsPerPop,StudentsPer100
1980,ACES,REST MGMT,0,0,0,53,30,23,0,49,1,2,0,1,0,0,0,0,0,1550,1550,21542,0.00246031009,0.246031009
1980,ACES,Secondary Education,0,0,8527,16,8,8,0,16,0,0,0,0,0,0,0,0,0,2020,2020,21542,0.00074273512,0.074273512
1980,ACES,Spanish,0,0,307,46,18,28,1,31,0,3,8,0,0,0,3,0,0,3272,3272,21542,0.00213536348,0.213536348
1980,ACES,Speech & Hearing Science,0,0,1062,158,13,145,0,144,1,8,2,1,0,0,2,0,0,10920,9603,21542,0.00733450933,0.733450933
1980,ACES,Statistics,0,0,329,11,6,5,0,6,0,0,1,1,0,0,3,0,0,3283,3283,21542,0.00051063040,0.05106304
1980,ACES,TEXT-APPRL,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,1505,1505,21542,0.00041778851,0.041778851
1980,ACES,Teaching of Biological Science,0,0,293,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3253,3253,21542,0.00004642095,0.004642095
1980,ACES,Teaching of Chemistry,0,0,588,7,3,4,0,7,0,0,0,0,0,0,0,0,0,5503,5503,21542,0.00032494662,0.032494662
1980,ACES,Teaching of English Sec Lang,0,0,299,75,15,60,0,49,1,0,1,0,0,0,24,0,0,3226,3226,21542,0.00348157088,0.348157088
1980,ACES,Teaching of French,0,0,590,15,1,14,0,13,1,1,0,0,0,0,0,0,0,6462,6462,21542,0.00069631418,0.069631418
1980,ACES,Teaching of German,0,0,592,9,2,7,0,9,0,0,0,0,0,0,0,0,0,6498,6498,21542,0.00041778851,0.041778851
1980,ACES,Teaching of Latin,0,0,690,2,0,2,0,1,0,1,0,0,0,0,0,0,0,6444,6444,21542,0.00009284189,0.009284189
1980,ACES,Teaching of Mathematics,0,0,580,28,10,18,0,26,0,2,0,0,0,0,0,0,0,6508,6508,21542,0.00129978646,0.129978646
1980,ACES,VOC H E ED,0,0,0,36,0,36,0,35,0,1,0,0,0,0,0,0,0,2040,1560,21542,0.00167115402,0.167115402
1980,ACES,Wood Sciences,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,1555,1555,21542,0.00023210473,0.023210473
