Subject,Number,Primary Instructor,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total Students,Average GPA,Variance,F_cum,D-_cum,D_cum,D+_cum,C-_cum,C_cum,C+_cum,B-_cum,B_cum,B+_cum,A-_cum,A_cum,A+_cum,25PCT,25_percent,75PCT,75_percent,12.5PCT,12.5_percent,87.5PCT,87.5_percent
PHYS,212,"Adshead, Peter J",University Physics: Elec & Mag,48,35,20,19,26,30,18,15,17,12,13,9,5,5,267,2.854269663,1.061377738,1.872659176,5.243445693,10.11235955,14.60674157,20.97378277,26.5917603,33.33333333,44.56928839,54.3071161,61.42322097,68.91385768,82.02247191,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Beck, Douglas H",University Physics: Elec & Mag,211,304,224,201,199,301,217,227,206,135,118,124,47,23,2514,2.639753381,1.054073288,1.869530628,6.801909308,11.4956245,16.8655529,25.05966587,34.08910103,42.72076372,54.69371519,62.60938743,70.60461416,79.51471758,91.6070008,100,C-_cum,1.67,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,212,"Budakian, Raffi",University Physics: Elec & Mag,115,169,104,87,102,125,103,94,86,45,41,47,19,6,1137,2.771407212,1.017103331,1.671064204,5.80474934,9.410729991,13.36851363,20.93227792,29.1996482,38.2585752,49.25241865,58.2233949,65.87510994,75.02198769,89.88566403,100,C_cum,2,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,212,"Chamberlain, Robert T",University Physics: Elec & Mag,20,7,11,6,5,5,11,10,8,6,5,2,4,0,100,2.7001,1.07659939,4,6,11,17,25,35,46,51,56,62,73,80,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Davis, Alvie D",University Physics: Elec & Mag,10,12,4,12,10,10,10,4,10,10,0,6,4,2,102,2.594705882,1.030852419,3.921568627,9.803921569,9.803921569,19.60784314,29.41176471,33.33333333,43.1372549,52.94117647,62.74509804,74.50980392,78.43137255,90.19607843,100,C-_cum,1.67,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,212,"DeMarco, Brian L",University Physics: Elec & Mag,26,20,16,19,24,24,31,17,20,17,14,18,8,3,254,2.481771654,1.101584954,3.149606299,10.23622047,15.7480315,22.44094488,30.31496063,37.00787402,49.21259843,58.66141732,68.11023622,75.59055118,81.88976378,89.76377953,100,C-_cum,1.67,B+_cum,3.33,D_cum,1,A_cum,4
PHYS,212,"Faulkner, Thomas",University Physics: Elec & Mag,112,100,65,51,51,65,62,51,34,28,26,35,16,5,696,2.834568966,1.093795648,2.298850575,7.327586207,11.06321839,15.0862069,19.97126437,27.29885057,36.20689655,45.54597701,52.87356322,60.20114943,69.54022989,83.90804598,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Giannetta, Russell W",University Physics: Elec & Mag,4,26,36,28,18,10,8,8,0,0,0,0,4,4,142,3.244366197,0.333145386,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,8.450704225,14.08450704,21.12676056,33.8028169,53.52112676,78.87323944,97.18309859,100,B_cum,3,A-_cum,3.67,C+_cum,2.33,A_cum,4
PHYS,212,"Gladding, Gary E",University Physics: Elec & Mag,180,203,170,113,149,234,152,197,147,114,89,64,46,13,1858,2.627082885,1.01285674,2.475780409,5.920344456,10.71044133,16.84607104,24.75780409,35.3606028,43.54144241,56.13562971,64.15500538,70.23681378,79.38643703,90.31216362,100,C_cum,2,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,212,"Grosse Perdekam, Matthias",University Physics: Elec & Mag,61,78,50,61,62,74,54,45,43,23,11,12,9,1,583,2.85329331,0.840346368,1.54373928,3.602058319,5.488850772,9.433962264,16.80960549,24.52830189,33.79073756,46.48370497,57.11835334,67.58147513,76.15780446,89.53687822,100,C+_cum,2.33,A-_cum,3.67,C-_cum,1.67,A_cum,4
PHYS,212,"Hassani, Sadri D",University Physics: Elec & Mag,6,18,14,13,7,14,17,7,8,4,8,5,1,4,122,2.726967213,1.022757604,0.819672131,4.918032787,11.47540984,14.75409836,21.31147541,27.04918033,40.98360656,52.45901639,58.19672131,68.85245902,80.32786885,95.08196721,100,C_cum,2,A-_cum,3.67,D+_cum,1.33,A_cum,4
PHYS,212,"Holder, Gilbert",University Physics: Elec & Mag,63,55,34,35,27,35,36,43,27,21,15,10,5,0,406,2.838374384,1.021612023,1.231527094,3.694581281,7.389162562,12.56157635,19.21182266,29.80295567,38.66995074,47.29064039,53.9408867,62.56157635,70.93596059,84.48275862,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Hooberman, Benjamin",University Physics: Elec & Mag,166,163,93,77,72,94,84,93,53,46,30,45,17,12,1033,2.877308809,1.067887238,1.645692159,6.001936108,8.906098742,13.35914811,18.48983543,27.49273959,35.62439497,44.72410455,51.69409487,59.14811229,68.15101646,83.9303001,100,C_cum,2,A_cum,4,D+_cum,1.33,A+_cum,4
PHYS,212,"Kuehn, Seppe",University Physics: Elec & Mag,130,102,87,79,64,104,83,89,81,60,56,74,27,7,1036,2.579227799,1.190692036,2.606177606,9.749034749,15.15444015,20.94594595,28.76447876,37.35521236,45.36679537,55.40540541,61.58301158,69.20849421,77.60617761,87.45173745,100,C-_cum,1.67,A-_cum,3.67,D_cum,1,A+_cum,4
PHYS,212,"Mason, Nadya",University Physics: Elec & Mag,92,122,77,94,101,106,93,94,81,45,57,74,17,6,1053,2.605906933,1.119306261,1.614434948,8.641975309,14.05508072,18.328585,26.02089269,34.94776828,43.77967711,53.84615385,63.43779677,72.36467236,79.67711301,91.26305793,100,C-_cum,1.67,A-_cum,3.67,D_cum,1,A_cum,4
PHYS,212,"Mestre, Jose",University Physics: Elec & Mag,75,94,61,66,55,62,58,50,52,21,10,21,9,8,634,2.877239748,0.927214341,1.41955836,4.731861199,6.309148265,9.621451104,17.82334385,25.70977918,34.85804416,44.63722397,53.31230284,63.72239748,73.34384858,88.170347,100,C_cum,2,A_cum,4,C-_cum,1.67,A_cum,4
